vocab,layer,model,condition,feature,strength,file,clarif_rate,best_q_sim,nli,ambik_acc,overall_weighted_score,overall_weighted_score_nli,overall_similarity_nli,resolved_proxy_rate_nli
clar_vocab,31.0,9B,steering,124.0,10.0,/mnt/d/MIPT/results/clar_vocab2/layer31_chunk0000_act/ambik_9b_steered_seed42_feat124_str10.0.json,0.62,0.3579243315383792,,0.12,,,,
clar_vocab,31.0,9B,steering,124.0,3.0,/mnt/d/MIPT/results/clar_vocab2/layer31_chunk0000_act/ambik_9b_steered_seed42_feat124_str3.0.json,0.65,0.35735474929213523,,0.12,,,,
clar_vocab,31.0,9B,steering,158.0,10.0,/mnt/d/MIPT/results/clar_vocab2/layer31_chunk0000_act/ambik_9b_steered_seed42_feat158_str10.0.json,0.66,0.36985541999340055,,0.14,,,,
clar_vocab,31.0,9B,steering,158.0,3.0,/mnt/d/MIPT/results/clar_vocab2/layer31_chunk0000_act/ambik_9b_steered_seed42_feat158_str3.0.json,0.66,0.36958352752029894,,0.12,,,,
clar_vocab,31.0,9B,steering,294.0,10.0,/mnt/d/MIPT/results/clar_vocab2/layer31_chunk0000_act/ambik_9b_steered_seed42_feat294_str10.0.json,0.65,0.36849871568381787,,0.11,,,,
clar_vocab,31.0,9B,steering,294.0,3.0,/mnt/d/MIPT/results/clar_vocab2/layer31_chunk0000_act/ambik_9b_steered_seed42_feat294_str3.0.json,0.63,0.3619311162829399,,0.13,,,,
clar_vocab,31.0,9B,steering,308.0,10.0,/mnt/d/MIPT/results/clar_vocab2/layer31_chunk0000_act/ambik_9b_steered_seed42_feat308_str10.0.json,0.64,0.35623965054750445,,0.11,,,,
clar_vocab,31.0,9B,steering,308.0,3.0,/mnt/d/MIPT/results/clar_vocab2/layer31_chunk0000_act/ambik_9b_steered_seed42_feat308_str3.0.json,0.65,0.3665596934407949,,0.11,,,,
clar_vocab,31.0,9B,steering,540.0,10.0,/mnt/d/MIPT/results/clar_vocab2/layer31_chunk0000_act/ambik_9b_steered_seed42_feat540_str10.0.json,0.57,0.30900260858237744,,0.07,,,,
clar_vocab,31.0,9B,steering,540.0,3.0,/mnt/d/MIPT/results/clar_vocab2/layer31_chunk0000_act/ambik_9b_steered_seed42_feat540_str3.0.json,0.61,0.33102897197008135,,0.07,,,,
clar_vocab,31.0,9B,steering,550.0,10.0,/mnt/d/MIPT/results/clar_vocab2/layer31_chunk0000_act/ambik_9b_steered_seed42_feat550_str10.0.json,0.68,0.38673140671104195,,0.12,,,,
clar_vocab,31.0,9B,steering,550.0,3.0,/mnt/d/MIPT/results/clar_vocab2/layer31_chunk0000_act/ambik_9b_steered_seed42_feat550_str3.0.json,0.7,0.3962885484844446,,0.12,,,,
clar_vocab,31.0,9B,steering,631.0,10.0,/mnt/d/MIPT/results/clar_vocab2/layer31_chunk0000_act/ambik_9b_steered_seed42_feat631_str10.0.json,0.68,0.3809595546126366,,0.13,,,,
clar_vocab,31.0,9B,steering,631.0,3.0,/mnt/d/MIPT/results/clar_vocab2/layer31_chunk0000_act/ambik_9b_steered_seed42_feat631_str3.0.json,0.63,0.35485521107912066,,0.11,,,,
clar_vocab,31.0,9B,steering,778.0,10.0,/mnt/d/MIPT/results/clar_vocab2/layer31_chunk0000_act/ambik_9b_steered_seed42_feat778_str10.0.json,0.63,0.3460064626485109,,0.1,,,,
